frame,train_loss,val_loss,baseline_loss,time_ms
0,0.03316342085599899,0.03316342085599899,0.024538401514291763,17.032500996720046
1,0.03125099465250969,0.03125099465250969,0.02542952634394169,15.175765001913533
2,0.03187936171889305,0.03187936171889305,0.026305051520466805,15.500227003940381
3,0.03308194875717163,0.03308194875717163,0.027188265696167946,15.6624180090148
4,0.03435890004038811,0.03435890004038811,0.028148582205176353,10.939888001303189
5,0.03583875298500061,0.03583875298500061,0.029237816110253334,10.444993007695302
6,0.037116773426532745,0.037116773426532745,0.03019935078918934,10.150841000722721
7,0.038338445127010345,0.038338445127010345,0.031056882813572884,10.459853001520969
8,0.04091921076178551,0.04091921076178551,0.033049166202545166,8.996707998448983
9,0.04091262072324753,0.04091262072324753,0.032975830137729645,9.033013004227541
10,0.043363362550735474,0.043363362550735474,0.034904249012470245,8.866980992024764
11,0.04431591182947159,0.04431591182947159,0.03560739383101463,8.61035099660512
12,0.045968953520059586,0.045968953520059586,0.03682523965835571,8.502483993652277
13,0.046209074556827545,0.046209074556827545,0.03701655939221382,8.095532000879757
14,0.04714570194482803,0.04714570194482803,0.037740420550107956,7.643753007869236
15,0.04799404740333557,0.04799404740333557,0.03856092691421509,8.282476002932526
16,0.04764050617814064,0.04764050617814064,0.03847544640302658,8.028825992369093
17,0.04638625308871269,0.04638625308871269,0.03746054694056511,7.463554997229949
18,0.04501446336507797,0.04501446336507797,0.03664849326014519,8.476678005536087
19,0.04418510943651199,0.04418510943651199,0.036405839025974274,8.51120000879746
20,0.043733224272727966,0.043733224272727966,0.03641510382294655,8.434305011178367
21,0.0418073832988739,0.0418073832988739,0.034869156777858734,8.388709000428207
22,0.04151535779237747,0.04151535779237747,0.034809160977602005,8.774100002483465
23,0.03857019171118736,0.03857019171118736,0.03224574029445648,9.519144005025737
24,0.03826402500271797,0.03826402500271797,0.0319611020386219,9.406768993358128
25,0.036795418709516525,0.036795418709516525,0.03073221631348133,9.833247007918544
26,0.03588743135333061,0.03588743135333061,0.030121851712465286,9.844561005593278
27,0.03468549996614456,0.03468549996614456,0.028849510475993156,9.71573599963449
28,0.033763062208890915,0.033763062208890915,0.028356775641441345,10.786232989630662
29,0.033002112060785294,0.033002112060785294,0.02781844511628151,10.315371997421607
30,0.0317826010286808,0.0317826010286808,0.02675674669444561,10.130284004844725
31,0.031165774911642075,0.031165774911642075,0.026363808661699295,10.956482001347467
32,0.030227728188037872,0.030227728188037872,0.02561955340206623,11.15773999481462
33,0.02994508668780327,0.02994508668780327,0.025416897609829903,10.692167998058721
34,0.02899082750082016,0.02899082750082016,0.024717731401324272,11.38482200622093
35,0.028379065915942192,0.028379065915942192,0.024062741547822952,11.192866004421376
36,0.027252303436398506,0.027252303436398506,0.02316311001777649,11.958508999668993
37,0.027153093367815018,0.027153093367815018,0.023069551214575768,11.707033991115168
38,0.02585425227880478,0.02585425227880478,0.021869176998734474,11.731017992133275
39,0.02592214196920395,0.02592214196920395,0.021937290206551552,11.670346997561865
40,0.024823235347867012,0.024823235347867012,0.020966317504644394,12.461506994441152
41,0.02418748289346695,0.02418748289346695,0.020371492952108383,12.33864099776838
42,0.024347256869077682,0.024347256869077682,0.02049911767244339,12.633284000912681
43,0.02415527030825615,0.02415527030825615,0.020327191799879074,13.132078995113261
44,0.02377805858850479,0.02377805858850479,0.01998690702021122,12.753935996443033
45,0.02340434491634369,0.02340434491634369,0.01965435780584812,13.247815004433505
46,0.023104829713702202,0.023104829713702202,0.019488470628857613,12.686976988334209
47,0.022631892934441566,0.022631892934441566,0.018990684300661087,14.03091500105802
48,0.022320689633488655,0.022320689633488655,0.018752051517367363,12.690297997323796
49,0.021737588569521904,0.021737588569521904,0.018286626785993576,13.02826100436505
50,0.021767275407910347,0.021767275407910347,0.01826789602637291,13.449131001834758
51,0.021179091185331345,0.021179091185331345,0.01772288791835308,12.767773994710296
52,0.020751312375068665,0.020751312375068665,0.017389386892318726,12.70368299447
53,0.02074955217540264,0.02074955217540264,0.017361024394631386,13.48294499621261
54,0.02038784697651863,0.02038784697651863,0.017050698399543762,12.625297997146845
55,0.02080918289721012,0.02080918289721012,0.017277732491493225,13.41396800125949
56,0.020872820168733597,0.020872820168733597,0.01729280687868595,13.474171995767392
57,0.02120722085237503,0.02120722085237503,0.017581069841980934,13.801227003568783
58,0.021699706092476845,0.021699706092476845,0.018054256215691566,12.821462005376816
59,0.023605410009622574,0.023605410009622574,0.019809052348136902,13.080217002425343
60,0.024223439395427704,0.024223439395427704,0.02059076353907585,13.35538899002131
61,0.025186941027641296,0.025186941027641296,0.02148517221212387,13.143534000846557
62,0.025650307536125183,0.025650307536125183,0.022026298567652702,12.836018999223597
63,0.026878582313656807,0.026878582313656807,0.02327951416373253,12.750780995702371
64,0.027190852910280228,0.027190852910280228,0.02383134327828884,12.992090996704064
65,0.02839614637196064,0.02839614637196064,0.025125134736299515,11.797504994319752
66,0.028908472508192062,0.028908472508192062,0.025983044877648354,11.639739997917786
67,0.030219556763768196,0.030219556763768196,0.02739664912223816,10.617888998240232
68,0.03170998394489288,0.03170998394489288,0.02933613397181034,10.42194600449875
69,0.031485091894865036,0.031485091894865036,0.0294862762093544,9.472309000557289
70,0.032156094908714294,0.032156094908714294,0.03049759566783905,9.084076998988166
71,0.03137727826833725,0.03137727826833725,0.029907258227467537,9.58501199784223
72,0.030447129160165787,0.030447129160165787,0.028703466057777405,9.7328019910492
73,0.029180143028497696,0.029180143028497696,0.027153918519616127,10.771720000775531
74,0.02723352611064911,0.02723352611064911,0.02526104636490345,11.183163005625829
75,0.02629024349153042,0.02629024349153042,0.02441256120800972,12.39129800524097
76,0.024919526651501656,0.024919526651501656,0.023022975772619247,12.814424000680447
77,0.0241481214761734,0.0241481214761734,0.021829457953572273,12.886477998108603
78,0.02359321527183056,0.02359321527183056,0.021344508975744247,13.374354995903559
79,0.02292289398610592,0.02292289398610592,0.020542701706290245,14.267482998548076
80,0.02187839336693287,0.02187839336693287,0.019858235493302345,14.057941996725276
81,0.02249264530837536,0.02249264530837536,0.019535986706614494,14.331469996250235
82,0.020582344383001328,0.020582344383001328,0.018642451614141464,14.791248002438806
83,0.020656870678067207,0.020656870678067207,0.018012968823313713,14.544211997417733
84,0.020104844123125076,0.020104844123125076,0.017485907301306725,14.41315800184384
85,0.019211752340197563,0.019211752340197563,0.01716328226029873,14.47801299218554
86,0.019504666328430176,0.019504666328430176,0.017330018803477287,14.628343997173943
87,0.019463153555989265,0.019463153555989265,0.017535336315631866,15.149554994422942
88,0.018942108377814293,0.018942108377814293,0.017579423263669014,14.682119988719933
89,0.01918649487197399,0.01918649487197399,0.017789503559470177,14.446141998632811
90,0.019313236698508263,0.019313236698508263,0.01824902556836605,14.338866996695288
91,0.019380614161491394,0.019380614161491394,0.018658636137843132,13.981248994241469
92,0.019733378663659096,0.019733378663659096,0.01886889897286892,13.58296700345818
93,0.019725318998098373,0.019725318998098373,0.019175536930561066,14.18032000947278
94,0.019586527720093727,0.019586527720093727,0.019341470673680305,13.222612004028633
95,0.02020636573433876,0.02020636573433876,0.019976403564214706,14.038282010005787
96,0.02067236416041851,0.02067236416041851,0.020594073459506035,13.604790001409128
97,0.02090139500796795,0.02090139500796795,0.021010614931583405,13.461919996188954
98,0.02139158919453621,0.02139158919453621,0.021457955241203308,13.375127004110254
99,0.021621348336338997,0.021621348336338997,0.0217441413551569,13.235375998192467
100,0.02233862318098545,0.02233862318098545,0.022684358060359955,13.022326995269395
101,0.022833501920104027,0.022833501920104027,0.023307226598262787,13.191584002925083
102,0.023557638749480247,0.023557638749480247,0.024151531979441643,12.924597001983784
103,0.023605478927493095,0.023605478927493095,0.024152304977178574,12.41621799999848
104,0.024418925866484642,0.024418925866484642,0.02521490678191185,11.644653000985272
105,0.025217624381184578,0.025217624381184578,0.02605927735567093,11.91804200061597
106,0.025745004415512085,0.025745004415512085,0.026613008230924606,11.722317998646758
107,0.026921136304736137,0.026921136304736137,0.027953822165727615,11.528884002473205
108,0.02710748091340065,0.02710748091340065,0.028184767812490463,11.16796700807754
109,0.028138235211372375,0.028138235211372375,0.02928120829164982,10.813741988386028
110,0.029209353029727936,0.029209353029727936,0.03041631542146206,10.348954994697124
111,0.02987946756184101,0.02987946756184101,0.031103642657399178,9.518311999272555
112,0.03084976226091385,0.03084976226091385,0.032253704965114594,9.094096007174812
113,0.031954146921634674,0.031954146921634674,0.03332710638642311,8.693129013408907
114,0.03304333984851837,0.03304333984851837,0.03454349935054779,8.761856995988637
115,0.03428209200501442,0.03428209200501442,0.03579635173082352,8.779422991210595
116,0.03498850017786026,0.03498850017786026,0.036559004336595535,8.238069989602081
117,0.035192832350730896,0.035192832350730896,0.036639049649238586,7.782896005664952
118,0.036317456513643265,0.036317456513643265,0.037780165672302246,8.269423007732257
119,0.03582104668021202,0.03582104668021202,0.03735751658678055,8.529992002877407
120,0.03664163872599602,0.03664163872599602,0.038306500762701035,7.363321012235247
121,0.03563864156603813,0.03563864156603813,0.03733561187982559,7.851079004467465
122,0.035210322588682175,0.035210322588682175,0.036803897470235825,8.340265994775109
123,0.03539717197418213,0.03539717197418213,0.03720290958881378,8.152688009431586
124,0.03366446867585182,0.03366446867585182,0.03532780334353447,7.777310005621985
125,0.032606013119220734,0.032606013119220734,0.0343058705329895,8.987562992842868
126,0.031332287937402725,0.031332287937402725,0.032982438802719116,8.41120998666156
127,0.03023230843245983,0.03023230843245983,0.03182416036725044,8.871046986314468
128,0.030153591185808182,0.030153591185808182,0.0318322479724884,9.644061996368691
129,0.029145292937755585,0.029145292937755585,0.0307608675211668,9.385822995682247
130,0.02796158194541931,0.02796158194541931,0.029547356069087982,9.959001996321604
131,0.02724471502006054,0.02724471502006054,0.02878071740269661,10.12666399765294
132,0.026531174778938293,0.026531174778938293,0.028027324005961418,10.21955999021884
133,0.025749677792191505,0.025749677792191505,0.027112985029816628,10.271845007082447
134,0.024969354271888733,0.024969354271888733,0.02632100321352482,10.505418002139777
135,0.024658650159835815,0.024658650159835815,0.02597704343497753,10.436409997055307
136,0.02404438704252243,0.02404438704252243,0.025303857401013374,10.751538997283205
137,0.023473069071769714,0.023473069071769714,0.0246655885130167,10.954215002129786
138,0.022603392601013184,0.022603392601013184,0.02371981367468834,10.956401994917542
139,0.022062204778194427,0.022062204778194427,0.023141974583268166,11.415514993132092
140,0.021541966125369072,0.021541966125369072,0.02259749546647072,11.496020000777207
141,0.02126276306807995,0.02126276306807995,0.02226405218243599,11.359465002897196
142,0.020761018618941307,0.020761018618941307,0.02176576666533947,11.134400003356859
143,0.020242728292942047,0.020242728292942047,0.021156182512640953,11.297767996438779
144,0.019847072660923004,0.019847072660923004,0.020699074491858482,11.900498997420073
145,0.01973344385623932,0.01973344385623932,0.02067212201654911,11.455609012045898
146,0.019370799884200096,0.019370799884200096,0.020212041214108467,11.617533004027791
147,0.01946520432829857,0.01946520432829857,0.020327312871813774,12.111363001167774
148,0.01876480132341385,0.01876480132341385,0.01957007870078087,12.371015996905044
149,0.018772536888718605,0.018772536888718605,0.01956271380186081,12.159178993897513
150,0.018033068627119064,0.018033068627119064,0.018741918727755547,12.129563008784316
151,0.0182416420429945,0.0182416420429945,0.01897444948554039,12.142238992964849
152,0.017686573788523674,0.017686573788523674,0.01839960739016533,12.379263003822416
153,0.01736563630402088,0.01736563630402088,0.01799606904387474,12.244666009792127
154,0.01690209098160267,0.01690209098160267,0.017505314201116562,12.25763799448032
155,0.01717396080493927,0.01717396080493927,0.017864950001239777,12.403833999997005
156,0.01686616614460945,0.01686616614460945,0.017446549609303474,12.594749001436867
157,0.016771944239735603,0.016771944239735603,0.01738695241510868,12.873350002337247
158,0.016388630494475365,0.016388630494475365,0.01693156734108925,12.368711992166936
159,0.016970288008451462,0.016970288008451462,0.017604557797312737,12.458286990295164
160,0.017061157152056694,0.017061157152056694,0.017699068412184715,12.63625999854412
161,0.017026739194989204,0.017026739194989204,0.01782074011862278,12.709895992884412
162,0.01767614856362343,0.01767614856362343,0.018735678866505623,12.754918992868625
163,0.018957553431391716,0.018957553431391716,0.02051622048020363,13.628845001221634
164,0.01964442990720272,0.01964442990720272,0.021630600094795227,13.878764992114156
165,0.019826140254735947,0.019826140254735947,0.022108953446149826,13.53588500933256
166,0.019809851422905922,0.019809851422905922,0.02240648679435253,13.118368005962111
167,0.02035822719335556,0.02035822719335556,0.02335073985159397,12.482977996114641
168,0.020800037309527397,0.020800037309527397,0.02443421259522438,11.959627998294309
169,0.021694563329219818,0.021694563329219818,0.025731341913342476,11.829548006062396
170,0.022617407143115997,0.022617407143115997,0.027034057304263115,10.967039997922257
171,0.023419879376888275,0.023419879376888275,0.0285137090831995,10.442935992614366
172,0.024149540811777115,0.024149540811777115,0.029314715415239334,10.216274997219443
173,0.024548158049583435,0.024548158049583435,0.030494699254631996,9.415591004653834
174,0.02382848598062992,0.02382848598062992,0.0296353567391634,9.77587400120683
175,0.02393721416592598,0.02393721416592598,0.029446346685290337,10.52361800975632
176,0.022517869248986244,0.022517869248986244,0.027256246656179428,10.476281997398473
177,0.021386004984378815,0.021386004984378815,0.025725413113832474,10.92628100013826
178,0.020517876371741295,0.020517876371741295,0.02449928969144821,11.5977700043004
179,0.020076273009181023,0.020076273009181023,0.02342815510928631,11.682070995448157
180,0.01910543255507946,0.01910543255507946,0.02233673818409443,12.303872004849836
181,0.018551306799054146,0.018551306799054146,0.021101847290992737,12.621208996279165
182,0.018459392711520195,0.018459392711520195,0.021009087562561035,13.35656399896834
183,0.01797623746097088,0.01797623746097088,0.020124824717640877,13.371790002565831
184,0.01768387295305729,0.01768387295305729,0.019601477310061455,13.916605996200815
185,0.01728200539946556,0.01728200539946556,0.01893952488899231,14.111372991465032
186,0.01719246618449688,0.01719246618449688,0.018421368673443794,14.048000011825934
187,0.016610397025942802,0.016610397025942802,0.01737278141081333,14.054775994736701
188,0.016810191795229912,0.016810191795229912,0.01749435067176819,14.250384003389627
189,0.016700996086001396,0.016700996086001396,0.01723661832511425,14.516695999191143
190,0.016884485259652138,0.016884485259652138,0.017439918592572212,14.22613300383091
191,0.01678209938108921,0.01678209938108921,0.01737263612449169,13.985329002025537
192,0.017088325694203377,0.017088325694203377,0.0177106112241745,13.827214002958499
193,0.01752341538667679,0.01752341538667679,0.018209168687462807,14.041508999071084
194,0.017400523647665977,0.017400523647665977,0.018090717494487762,14.003938005771488
