time,run,ssim_global,ssim_indirect,lpips_global,lpips_indirect,psnr_global,psnr_indirect
0.1,1,0.75542116,0.86722964,0.27951574325561523,0.21093766391277313,27.547969935244826,32.12594136357082
0.209,1,0.79448265,0.91786784,0.2613041400909424,0.15999284386634827,28.939647484389376,35.18324465654152
0.302,1,0.85862845,0.93219596,0.2186293601989746,0.1406339406967163,31.562704281629827,36.285542116584224
0.457,1,0.9166854,0.9375293,0.16514518857002258,0.1336858868598938,34.69377382333889,36.73943959549176
0.549,1,0.93203664,0.9476199,0.14635694026947021,0.11895433068275452,35.8011319425649,37.68924910400174
0.603,1,0.94459695,0.95361465,0.12987276911735535,0.10834391415119171,36.87209860694421,38.32709053242857
0.706,1,0.9500237,0.9593692,0.12114129215478897,0.09746434539556503,37.39670216285575,39.01278211639972
0.8,1,0.9572075,0.9630504,0.10604066401720047,0.08908797800540924,38.17515501861368,39.49589023839656
0.905,1,0.9614601,0.9667371,0.09710657596588135,0.08145976066589355,38.699164919233084,40.00742463103307
1.001,1,0.96580225,0.969168,0.08799830079078674,0.07571052014827728,39.28402116270088,40.38413462883944
1.1,1,0.96853,0.9708097,0.08229787647724152,0.07152204215526581,39.67742955154087,40.646080357347984
1.249,1,0.9723289,0.97307485,0.07367512583732605,0.06740060448646545,40.304499255337106,41.048710494977456
1.36,1,0.974562,0.9746313,0.06871359050273895,0.06336966902017593,40.69783396521981,41.33891777820139
1.448,1,0.9760556,0.9760525,0.06499305367469788,0.0588051974773407,40.985122642224205,41.62037390186914
1.533,1,0.97711474,0.9769869,0.06200283765792847,0.0564187616109848,41.19408872006758,41.810872702997834
1.6,1,0.9783396,0.97815543,0.0587259940803051,0.05333452671766281,41.44830761482627,42.04766137896349
1.7,1,0.98020387,0.9794434,0.053606368601322174,0.04984743893146515,41.85985976776112,42.338102863245965
1.801,1,0.98090744,0.98053503,0.0513022243976593,0.04712021350860596,42.02163589016463,42.60354323378705
1.906,1,0.9815219,0.9813439,0.04949870705604553,0.04464186728000641,42.179815494444846,42.81322126891064
2.002,1,0.9827283,0.98224545,0.04639121890068054,0.04220721125602722,42.490410829042176,43.04194472413172
2.107,1,0.9834056,0.98290414,0.04432597756385803,0.04011650010943413,42.67653740591331,43.218822569366424
2.202,1,0.98430157,0.98383075,0.04127437621355057,0.03741735219955444,42.93784059821807,43.479329147829766
2.329,1,0.9847348,0.9843979,0.03991669416427612,0.035934288054704666,43.07609585813253,43.64293252680344
2.419,1,0.98528093,0.98481816,0.03799211233854294,0.034790605306625366,43.23730996913352,43.765352263222894
2.5,1,0.9861421,0.985568,0.03535056859254837,0.032650772482156754,43.51357910308926,44.00346170838284
2.616,1,0.9864524,0.98603207,0.03437196463346481,0.031465210020542145,43.61456029315462,44.153842788393106
2.704,1,0.98676544,0.98634213,0.03365699201822281,0.030763082206249237,43.72576505487317,44.261851208317175
2.8,1,0.987511,0.98691106,0.03135867044329643,0.029187625274062157,43.999505410620316,44.46612601136466
2.903,1,0.9876831,0.987328,0.030797423794865608,0.02793225273489952,44.061716628617816,44.61649276968742
3.01,1,0.98802024,0.98756737,0.03001430630683899,0.027459807693958282,44.18945744247503,44.707448831648776
3.1,1,0.988568,0.9880969,0.02790313959121704,0.026029780507087708,44.398407747729976,44.91784321712552
3.229,1,0.98886377,0.988399,0.026963692158460617,0.024910354986786842,44.51594040565822,45.02912166000712
3.319,1,0.9891166,0.9886598,0.026325996965169907,0.024329476058483124,44.62904752411086,45.142305172168165
3.408,1,0.9893756,0.9889806,0.025330565869808197,0.023533718660473824,44.740352428476584,45.27285550014662
3.517,1,0.9896763,0.9892258,0.024359315633773804,0.022844891995191574,44.873810376567924,45.38039579857375
3.602,1,0.989907,0.9895215,0.023822486400604248,0.022017011418938637,44.975675827305786,45.501676709256245
3.712,1,0.99016756,0.98978424,0.02278989367187023,0.02106044441461563,45.098668101509205,45.62654132919142
3.823,1,0.9904189,0.989999,0.02214869111776352,0.02028288133442402,45.21782945390108,45.72854211398607
3.913,1,0.99062806,0.99018645,0.021570270881056786,0.019728656858205795,45.31890640424518,45.817599060203946
4.0,1,0.99081105,0.9903756,0.020820777863264084,0.01915079541504383,45.410978680474436,45.90764332634925
4.1,1,0.9910713,0.99064094,0.020087283104658127,0.01854732260107994,45.54519087185178,46.04022309572156
4.217,1,0.99118096,0.99077344,0.019649259746074677,0.018107451498508453,45.60265984064537,46.10967955236088
4.3,1,0.9914802,0.991039,0.018802370876073837,0.017298506572842598,45.75654084996174,46.24854950335002
4.434,1,0.9916372,0.9911913,0.018561385571956635,0.01683824136853218,45.84621894200473,46.33428930649274
4.521,1,0.99177414,0.9913964,0.017980774864554405,0.016408756375312805,45.92352326065132,46.442689384247835
4.628,1,0.9919579,0.9915414,0.017415359616279602,0.01603984646499157,46.02332359984111,46.5258743659617
4.714,1,0.9920617,0.9916803,0.017306149005889893,0.01572931557893753,46.08724433608483,46.60447752356288
4.802,1,0.9921852,0.99174565,0.016910267993807793,0.015599077567458153,46.15624668233332,46.64180602978968
