time,run,ssim_global,ssim_indirect,lpips_global,lpips_indirect,psnr_global,psnr_indirect
0.25,1,0.84553045,0.8136282,0.17431719601154327,0.12900622189044952,29.79850298719272,25.456753895542732
0.5,1,0.9176676,0.81812495,0.12434755265712738,0.11417290568351746,32.224689084481426,25.58783717855512
0.75,1,0.94211096,0.81946635,0.10412320494651794,0.10914962738752365,32.86943247053712,25.61834933038365
1.0,1,0.9534666,0.8201528,0.09168872237205505,0.10667873173952103,33.13924580029927,25.63171717811548
1.25,1,0.96013147,0.82057494,0.08425012975931168,0.10546159744262695,33.280981971135695,25.638124522526514
1.5,1,0.9645257,0.82090425,0.07890664786100388,0.10429462790489197,33.3730308423968,25.643491955578547
1.75,1,0.9673689,0.8211045,0.07457298785448074,0.10311229526996613,33.43849947375875,25.64627196719232
2.0,1,0.96955436,0.8212703,0.07115719467401505,0.10254813730716705,33.48457778366434,25.648258735844035
2.25,1,0.9713187,0.82140636,0.06788280606269836,0.10190699994564056,33.52136055043825,25.65020810834515
2.5,1,0.9727232,0.82151437,0.06464215368032455,0.10153814405202866,33.55029054473396,25.65142672734771
2.75,1,0.9738571,0.82160187,0.06245461851358414,0.10123834758996964,33.573391827200695,25.653083724650298
3.0,1,0.9747693,0.8216739,0.060174766927957535,0.1007462665438652,33.59282024609792,25.65377189508763
3.25,1,0.97555584,0.8217432,0.05828706920146942,0.10028940439224243,33.60942904234142,25.654578639772243
3.501,1,0.97624916,0.82182217,0.056370072066783905,0.10032829642295837,33.6252310903994,25.655294622861984
3.75,1,0.97682,0.8218741,0.054980501532554626,0.10002702474594116,33.63958389701294,25.655922297545448
4.0,1,0.9773204,0.8219306,0.05338103696703911,0.09976787865161896,33.648376103038466,25.656436792079592
4.25,1,0.97777754,0.8219738,0.05186213552951813,0.09961914271116257,33.65811257714738,25.656928571612077
4.5,1,0.978157,0.8220239,0.05040415748953819,0.0996050238609314,33.667535382324296,25.657386350429398
4.75,1,0.978555,0.8220663,0.04909130930900574,0.09943294525146484,33.6745625369569,25.657873988426925
