time_ms,frame_index,val_loss,train_time_ms,fps,frame_time
31577.0,1605,0.04802,25.899,50.1,20
31805.9,1617,0.04790,26.002,51.5,19.4
32030.8,1627,0.04764,26.060,51.4,19.4
32259.8,1638,0.04792,26.391,52.9,18.9
32489.9,1649,0.04777,26.865,55.4,18
32719.2,1661,0.04774,26.045,54.6,18.3
32944.9,1672,0.04764,26.240,52.7,19
33168.0,1682,0.04780,26.067,52.1,19.2
33385.2,1692,0.04787,25.916,49.3,20.3
33608.0,1702,0.04784,26.900,49.2,20.3
33831.1,1713,0.04781,25.967,50.2,19.9
34057.1,1723,0.04779,25.975,52.6,19
34284.5,1735,0.04768,26.936,52.6,19
34509.6,1746,0.04776,26.971,49.7,20.1
34752.1,1756,0.04773,27.134,51.2,19.5
34982.5,1769,0.04761,25.950,53.7,18.6
35208.0,1781,0.04793,27.266,51.7,19.4
35437.8,1792,0.04782,26.397,51.9,19.3
35666.5,1803,0.04766,26.769,52.8,18.9
35895.5,1817,0.04764,26.539,54.2,18.5
36151.0,1830,0.04780,26.377,57.7,17.3
36411.9,1844,0.04759,26.836,62,16.1
36652.4,1859,0.04768,27.792,58.1,17.2
36895.8,1871,0.04767,26.772,50.2,19.9
37116.2,1882,0.04756,26.003,49,20.4
37349.9,1893,0.04737,27.003,51.2,19.5
37585.7,1904,0.04749,26.475,52.4,19.1
37825.3,1915,0.04778,27.451,51.4,19.5
38070.3,1927,0.04766,26.982,55.1,18.1
38307.0,1940,0.04749,26.810,56.1,17.8
38559.5,1952,0.04749,26.472,56,17.9
38801.1,1964,0.04746,26.434,53,18.9
39066.8,1976,0.04733,26.847,58.1,17.2
39324.3,1990,0.04753,26.353,59.9,16.7
39579.2,2004,0.04735,26.679,60.7,16.5
39814.7,2020,0.04748,26.272,58.9,17
40082.1,2032,0.04723,26.245,58.9,17
40312.7,2046,0.04722,27.968,58.1,17.2
40546.1,2060,0.04733,26.625,53.7,18.6
40767.2,2071,0.04746,26.638,51.8,19.3
41014.9,2083,0.04732,26.168,54.6,18.3
41241.2,2096,0.04758,28.506,54.1,18.5
