frame,train_loss,val_loss,baseline_loss,time_ms
0,0.03811371326446533,0.03811371326446533,0.020334873348474503,12.996272998861969
1,0.028222475200891495,0.028222475200891495,0.020513687282800674,11.808295035734773
2,0.022612877190113068,0.022612877190113068,0.020394768565893173,11.892542010173202
3,0.020748259499669075,0.020748259499669075,0.020473690703511238,10.92234905809164
4,0.021353010088205338,0.021353010088205338,0.020393123850226402,10.88129507843405
5,0.02191927656531334,0.02191927656531334,0.020433085039258003,10.602541035041213
6,0.02139446884393692,0.02139446884393692,0.020446358248591423,11.55695493798703
7,0.020198125392198563,0.020198125392198563,0.020391900092363358,11.076502967625856
8,0.019299238920211792,0.019299238920211792,0.020533420145511627,11.18808297906071
9,0.018405217677354813,0.018405217677354813,0.02039235085248947,11.443746974691749
10,0.018024593591690063,0.018024593591690063,0.02056432142853737,10.853262967430055
11,0.01754702441394329,0.01754702441394329,0.020512055605649948,10.79681795090437
12,0.017259694635868073,0.017259694635868073,0.0205832626670599,11.214890982955694
13,0.01668912172317505,0.01668912172317505,0.020516052842140198,10.876683983951807
14,0.015931174159049988,0.015931174159049988,0.020335249602794647,11.113764019683003
15,0.015523347072303295,0.015523347072303295,0.020497726276516914,10.82308602053672
16,0.014957302249968052,0.014957302249968052,0.020599551498889923,11.590767069719732
17,0.014413271099328995,0.014413271099328995,0.020542128011584282,10.878916014917195
18,0.013984072022140026,0.013984072022140026,0.020306691527366638,11.13189198076725
19,0.01371745578944683,0.01371745578944683,0.020293310284614563,10.809084982611239
20,0.013584159314632416,0.013584159314632416,0.020448165014386177,11.073244968429208
21,0.013382834382355213,0.013382834382355213,0.020585674792528152,10.89840498752892
22,0.012804793193936348,0.012804793193936348,0.02040735073387623,10.751398978754878
23,0.012345765717327595,0.012345765717327595,0.02033708617091179,11.147206067107618
24,0.012063519097864628,0.012063519097864628,0.02047622576355934,11.47335593122989
25,0.01143710222095251,0.01143710222095251,0.020335035398602486,11.015478055924177
26,0.01112893782556057,0.01112893782556057,0.020364895462989807,11.358891031704843
27,0.010891075246036053,0.010891075246036053,0.02043263055384159,11.070414911955595
28,0.010523569770157337,0.010523569770157337,0.020242808386683464,11.602955986745656
29,0.010079427622258663,0.010079427622258663,0.02024645172059536,11.249875999055803
30,0.009980350732803345,0.009980350732803345,0.02032124251127243,11.370543041266501
31,0.009567918255925179,0.009567918255925179,0.020405223593115807,11.167881079018116
32,0.009438784793019295,0.009438784793019295,0.020472988486289978,11.109404033049941
33,0.009305056184530258,0.009305056184530258,0.020366700366139412,11.27197197638452
34,0.008931471966207027,0.008931471966207027,0.02033582702279091,11.072987923398614
35,0.008768745698034763,0.008768745698034763,0.020238332450389862,11.242005042731762
36,0.00849729310721159,0.00849729310721159,0.02009192481637001,10.57671697344631
37,0.008612475357949734,0.008612475357949734,0.020550617948174477,10.889714933000505
38,0.008342904970049858,0.008342904970049858,0.020390843972563744,10.961949941702187
39,0.008231338113546371,0.008231338113546371,0.020440274849534035,11.475365958176553
40,0.008167849853634834,0.008167849853634834,0.020357415080070496,10.993867996148765
41,0.00806195754557848,0.00806195754557848,0.0203019417822361,11.492748046293855
42,0.008005902171134949,0.008005902171134949,0.020494092255830765,11.46785297896713
43,0.00777223939076066,0.00777223939076066,0.020337438210844994,10.891907033510506
44,0.007720459718257189,0.007720459718257189,0.02038964442908764,11.030677938833833
45,0.007568286266177893,0.007568286266177893,0.020258301869034767,11.659346986562014
46,0.007370338775217533,0.007370338775217533,0.020341996103525162,10.978235048241913
47,0.007471679709851742,0.007471679709851742,0.0204020943492651,10.583188966847956
