time,run,ssim_global,ssim_indirect,lpips_global,lpips_indirect,psnr_global,psnr_indirect
0.25,1,0.83281976,0.6375657,0.2415701448917389,0.16291938722133636,28.22451343533787,22.025089293660614
0.5,1,0.89097685,0.6408803,0.17514599859714508,0.15561407804489136,30.079707947154986,22.12097093137553
0.75,1,0.9084024,0.64185375,0.1481943428516388,0.15394745767116547,30.580721573914495,22.144425618871217
1.0,1,0.91578394,0.64227426,0.13171640038490295,0.15307077765464783,30.771343119127202,22.154993295904696
1.25,1,0.9206874,0.64255506,0.12096704542636871,0.15226851403713226,30.89883262206991,22.16170060435619
1.5,1,0.9238896,0.64277697,0.11198844015598297,0.1519414335489273,30.982616794316282,22.16650350376703
1.75,1,0.9261577,0.64291,0.10557188093662262,0.1517166942358017,31.041941425709165,22.16996029941553
2.0,1,0.92769665,0.6430325,0.10053442418575287,0.15147782862186432,31.08031914359963,22.171873161931536
2.25,1,0.9289414,0.6431115,0.09651291370391846,0.1511962115764618,31.11342632264261,22.173509544815893
2.5,1,0.9299162,0.64316124,0.09392745047807693,0.15097525715827942,31.138836944898628,22.17504310952552
2.75,1,0.9308298,0.64321274,0.09137869626283646,0.15100856125354767,31.16193582100668,22.176282024936565
3.0,1,0.93150353,0.64329416,0.08871887624263763,0.15076704323291779,31.17938547729829,22.178246027758036
3.25,1,0.93211156,0.64332813,0.08694689720869064,0.1508055478334427,31.192796511951254,22.179267435447628
3.5,1,0.93258715,0.64339674,0.08541534096002579,0.1506069004535675,31.206351114457828,22.180078014117615
3.75,1,0.9330594,0.6434251,0.08395260572433472,0.15062159299850464,31.21889960565463,22.18056500066911
4.0,1,0.9334107,0.64345086,0.08287360519170761,0.15054722130298615,31.22621264843349,22.181052378801773
4.25,1,0.93372196,0.6434796,0.08147454261779785,0.15037840604782104,31.235515356648733,22.181549214467665
4.5,1,0.93402845,0.6435025,0.08047304302453995,0.15049205720424652,31.242869006171286,22.182070586190022
4.75,1,0.93431646,0.6435401,0.07955532521009445,0.1503288894891739,31.249361096517077,22.182703202291666
5.0,1,0.93458766,0.6435471,0.07831914722919464,0.15045323967933655,31.2564620613108,22.18295935184743
5.25,1,0.9348312,0.6435718,0.07764805108308792,0.15042632818222046,31.263318254724858,22.18345722040616
5.5,1,0.93508047,0.64358836,0.0770387053489685,0.1503441035747528,31.2696420285617,22.183790643094913
5.75,1,0.93526274,0.6436088,0.07654087990522385,0.15026628971099854,31.273931021753285,22.184293044856442
6.0,1,0.93543863,0.6436203,0.07613813877105713,0.15030941367149353,31.278561563832888,22.184710504720194
6.25,1,0.9356076,0.6436294,0.07566320151090622,0.1502777487039566,31.282417906603115,22.18488946653092
6.5,1,0.9357631,0.64364177,0.07521513849496841,0.15024441480636597,31.286187799167756,22.185096639869606
